date,revenues,group,customer_id
4/26/2017,0,b,164
4/26/2017,0,b,246
4/26/2017,0,a,665
4/26/2017,28.59,b,226
4/26/2017,0,a,367
4/26/2017,0,b,338
4/26/2017,0,a,297
4/26/2017,0,b,88
4/26/2017,0,a,478
4/26/2017,0,b,39
4/26/2017,0,a,372
4/26/2017,0,b,353
4/26/2017,0,a,67
4/26/2017,0,b,219
4/26/2017,0,a,123
4/26/2017,0,b,88
4/26/2017,9.44,a,862
4/26/2017,0,b,284
4/26/2017,0,a,918
4/26/2017,0,b,756
4/26/2017,0,a,439
4/26/2017,0,b,76
4/26/2017,0,a,772
4/26/2017,0,b,809
4/26/2017,0,a,91
4/26/2017,0,b,902
4/26/2017,0,a,695
4/26/2017,0,b,67
4/26/2017,0,a,8
4/26/2017,0,b,300
4/26/2017,0,a,222
4/26/2017,0,b,773
4/26/2017,0,b,743
4/26/2017,0,a,852
4/26/2017,0,b,960
4/26/2017,0,a,641
4/26/2017,0,b,900
4/26/2017,0,a,869
4/26/2017,0,b,330
4/26/2017,0,a,888
4/26/2017,0,b,847
4/26/2017,0,a,166
4/26/2017,0,b,750
4/26/2017,0,a,122
4/26/2017,0,b,674
4/26/2017,0,a,50
4/26/2017,0,b,812
4/26/2017,0,a,474
4/26/2017,0,b,110
4/26/2017,0,a,810
4/26/2017,0,b,90
4/26/2017,0,a,939
4/26/2017,0,b,999
4/26/2017,0,b,903
4/26/2017,0,a,948
4/26/2017,0,b,589
4/26/2017,0,b,181
4/26/2017,0,b,50
4/26/2017,0,b,155
4/26/2017,0,b,210
4/26/2017,0,a,551
4/26/2017,0,b,782
4/26/2017,0,a,305
4/26/2017,0,b,162
4/26/2017,0,a,473
4/26/2017,28.44,b,141
4/26/2017,9.46,a,350
4/26/2017,0,b,834
4/26/2017,0,a,997
4/26/2017,0,b,219
4/26/2017,0,a,168
4/26/2017,0,b,708
4/26/2017,0,a,999
4/26/2017,0,b,418
4/26/2017,0,a,722
4/26/2017,0,b,208
4/26/2017,0,a,812
4/26/2017,0,b,590
4/26/2017,0,a,841
4/26/2017,0,b,291
4/26/2017,0,a,462
4/26/2017,0,b,68
4/26/2017,9.49,a,182
4/26/2017,0,b,937
4/26/2017,0,a,495
4/26/2017,0,b,927
4/26/2017,0,a,997
4/26/2017,0,b,431
4/26/2017,0,b,816
4/26/2017,0,a,775
4/26/2017,0,b,155
4/26/2017,0,a,225
4/26/2017,0,b,947
4/26/2017,0,b,724
4/26/2017,0,a,339
4/26/2017,0,b,275
4/26/2017,0,a,436
4/26/2017,0,b,429
4/26/2017,0,a,600
4/26/2017,0,b,390
4/26/2017,3.15,a,730
4/26/2017,0,b,190
4/26/2017,0,a,769
4/26/2017,0,b,863
4/26/2017,0,a,760
4/26/2017,0,b,534
4/26/2017,0,b,373
4/26/2017,0,a,849
4/26/2017,0,b,893
4/26/2017,0,a,131
4/26/2017,0,b,72
4/26/2017,0,a,413
4/26/2017,0,b,568
4/26/2017,0,a,596
4/26/2017,0,b,436
4/26/2017,0,a,299
4/26/2017,0,b,336
4/26/2017,0,a,134
4/26/2017,0,b,733
4/26/2017,0,a,302
4/26/2017,0,b,607
4/26/2017,0,a,620
4/26/2017,0,b,910
4/26/2017,0,a,981
4/26/2017,0,b,626
4/26/2017,0,a,516
4/26/2017,0,b,391
4/26/2017,0,a,984
4/26/2017,0,b,434
4/26/2017,0,a,797
4/26/2017,0,b,577
4/26/2017,0,b,934
4/26/2017,0,a,414
4/26/2017,0,b,297
4/26/2017,0,a,944
4/26/2017,0,b,689
4/26/2017,0,a,19
4/26/2017,0,b,763
4/26/2017,0,b,75
4/26/2017,0,a,257
4/26/2017,0,b,157
4/26/2017,0,b,694
4/26/2017,0,a,696
4/26/2017,0,b,11
4/26/2017,0,a,712
4/26/2017,0,b,136
4/26/2017,0,b,202
4/26/2017,0,a,320
4/26/2017,0,b,197
4/26/2017,18.96,a,410
4/26/2017,0,b,802
4/26/2017,0,a,802
4/26/2017,0,b,525
4/26/2017,0,a,202
4/26/2017,0,b,58
4/26/2017,0,a,124
4/26/2017,0,b,929
4/26/2017,0,a,611
4/26/2017,0,b,861
4/26/2017,0,a,160
4/26/2017,0,b,883
4/26/2017,0,a,145
4/26/2017,0,b,857
4/26/2017,0,a,506
4/26/2017,0,b,8
4/26/2017,0,a,42
4/26/2017,0,b,945
